line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match,meter_is_correct,meter_faults,meter_fault_positions,text_samhitapatha_normalized,meter_stem_found,meter_stem_positions,meter_stem_fault_positions,meter_stem_vowel_position,meter_stem_root_vowel_position,meter_stem_fault_position_labels,meter_stem_vowel_position_scansion_expected,meter_stem_root_vowel_position_scansion_expected
02.011.18.c,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,2,2.011,02.011.18,c,Mv,avr̥ṇoḥ,2,intermediate,2.SG.IPRF.IND.ACT,ápa avr̥ṇoḥ jyótiḥ ā́ryāya,ápāvr̥ṇor jyótir ā́riyāya,SLSL LS LSLS,,S,,202,Indra,Hymns to Indra,SLSL LS_LSLS,False,-1,10,"['á', 'pā', 'vr̥', 'ṇor', 'jyó', 'ti', 'r ā́', 'ri', 'yā', 'ya']",,True,-1,,[],ápāvr̥ṇor jyótir ā́riyāya,vr̥ṇo,"[3, 4]",[],4,3,,,
03.031.21.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,3,3.031,03.031.21,d,M,avr̥ṇot,4,intermediate,3.SG.IPRF.IND.ACT,dúraḥ ca víśvāḥ= avr̥ṇot} ápa svā́ḥ,dúraś ca víśvā avr̥ṇod ápa svā́ḥ,SL S LL SSL SL L,Triṣṭubh,N,['Grassmann (G)'],265,Indra,Hymns to Indra,"SL S LL ,SS|L_S_LL",False,5,11,"['dú', 'raś', 'ca', 'víś', 'vā', 'a', 'vr̥', 'ṇo', 'd á', 'pa s', 'vā́ḥ']",,True,1,,[],dúraś ca víśvā avr̥ṇod ápa svā́ḥ,vr̥ṇo,"[7, 8]",[],8,7,,L,S
03.034.03.a,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,3,3.034,03.034.03,a,M,avr̥ṇot,3,verse final,3.SG.IPRF.IND.ACT,índraḥ vr̥trám= avr̥ṇot śárdhanītiḥ,índro vr̥trám avr̥ṇoc chárdhanītiḥ,LL LS SSL LSLL,Triṣṭubh,c,,268,Indra,Hymns to Indra,"LL LS,_SSL |LSLL",False,4,11,"['ín', 'dro', 'vr̥t', 'rá', 'm a', 'vr̥', 'ṇoc', 'cchár', 'dha', 'nī', 'tiḥ']",caesura_position_inside_syllable=True,True,1,,[],índro vr̥trám avr̥ṇoc cchárdhanītiḥ,vr̥ṇo,"[6, 7]",[],7,6,,X,S
03.044.05.c,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,3,3.044,03.044.05,c,M,avr̥ṇot,2,intermediate,3.SG.IPRF.IND.ACT,ápa avr̥ṇot= háribhiḥ ádribhiḥ sutám,ápāvr̥ṇod dháribhir ádribhiḥ sutám,SLSL SSS LSL SL,,N,,278,Indra,Hymns to Indra,SLSL SSS_LSL SL,False,-1,12,"['á', 'pā', 'vr̥', 'ṇod', 'dhá', 'ri', 'bhi', 'r ád', 'ri', 'bhiḥ', 'su', 'tám']",,True,-1,,[],ápāvr̥ṇod dháribhir ádribhiḥ sutám,vr̥ṇo,"[3, 4]",[],4,3,,,
04.028.01.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,4,4.028,04.028.01,d,M,avr̥ṇot,2,intermediate,3.SG.IPRF.IND.ACT,ápa avr̥ṇot= ápihitā iva khā́ni,ápāvr̥ṇod ápihiteva khā́ni,SLSL SSSLS LS,Triṣṭubh,S,,324,Indra and Soma,Hymns to Indra,"SLSL,_SSS|LS LS",False,4,11,"['á', 'pā', 'vr̥', 'ṇo', 'd á', 'pi', 'hi', 'te', 'va', 'khā́', 'ni']",caesura_position_inside_syllable=True,True,1,,[],ápāvr̥ṇod ápihiteva khā́ni,vr̥ṇo,"[3, 4]",[],4,3,,X,X
07.082.06.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,7,7.082,07.082.06,d,M,vr̥ṇoti,4,verse final,3.SG.PRS.IND.ACT,dabhrébhiḥ anyáḥ= prá vr̥ṇoti bhū́yasaḥ,dabhrébhir anyáḥ prá vr̥ṇoti bhū́yasaḥ,LLS LL S SLS LSL,Jagatī,C,,598,Indra and Varuna,Hymns to Indra and Varuna,"LLS_LL ,S S|LS LSL",False,5,12,"['dabh', 'ré', 'bhi', 'r an', 'yáḥ', 'prá', 'vr̥', 'ṇo', 'ti', 'bhū́', 'ya', 'saḥ']",,True,1,,[],dabhrébhir anyáḥ prá vr̥ṇoti bhū́yasaḥ,vr̥ṇo,"[7, 8]",[],8,7,,L,S
08.063.03.b,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,8,8.063,08.063.03,b,M,avr̥ṇot,3,verse final,3.SG.IPRF.IND.ACT,índraḥ gā́ḥ avr̥ṇot ápa,índro gā́ avr̥ṇod ápa,LL L SSL SS,Gāyatrī,A,,672,Indra,Hymns of Pragatha and Other Kanva-Sons,LL L S|SL_SS,False,-1,8,"['ín', 'dro', 'gā́', 'a', 'vr̥', 'ṇo', 'd á', 'pa']",,True,1,,[],índro gā́ avr̥ṇod ápa,vr̥ṇo,"[5, 6]",[],6,5,,L,S
08.079.02.a,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,8,8.079,08.079.02,a,MT,ūrṇoti,2,intermediate,3.SG.PRS.IND.ACT,abhí ūrṇoti yát nagnám,abhí ūrṇoti yán nagnám,SS LLS L LL,Gāyatrī,S,,688,Soma,Hymns of Virupa and Others,SS LL|S L LL,False,-1,8,"['a', 'bhí', 'ūr', 'ṇo', 'ti', 'yán', 'nag', 'nám']",,True,0,scansion_cadence=SLLX,[7],abhí ūrṇoti yán nagnám,ūrṇo,"[3, 4]",[],4,3,,X,X
08.100.06.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,8,8.1,08.100.06,d,PR,apā́vr̥ṇoḥ,1,intermediate,2.SG.IPRF.IND.ACT,apā́vr̥ṇoḥ śarabhā́ya ŕ̥ṣibandhave?_,apā́vr̥ṇoḥ śarabhā́ya ŕ̥ṣibandhave,SLSL SSLS SSLSL,,P,"['Grassmann (G)', 'Witzel (z)']",709,Indra and Vak,Tirasci and Other Poets,SLSL SSLS SSLSL,False,-1,13,"['a', 'pā́', 'vr̥', 'ṇoḥ', 'śa', 'ra', 'bhā́', 'ya', 'ŕ̥', 'ṣi', 'ban', 'dha', 've']",,True,-1,,[],apā́vr̥ṇoḥ śarabhā́ya ŕ̥ṣibandhave,vr̥ṇo,"[3, 4]",[],4,3,,,
09.086.23.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,9,9.086,09.086.23,d,M,avr̥ṇoḥ,4,verse final,2.SG.IPRF.IND.ACT,sóma gotrám= áṅgirobhyaḥ} avr̥ṇoḥ ápa,sóma gotrám áṅgirobhyo 'vr̥ṇor ápa,LS LS LSLL SL SS,Jagatī,N,,798,Soma,The Jagati Group,"LS LS,_LSL|L SL_SS",False,4,12,"['só', 'ma', 'got', 'rá', 'm áṅ', 'gi', 'robh', 'yo', ""'vr̥"", 'ṇo', 'r á', 'pa']",caesura_position_inside_syllable=True,True,1,,[],sóma gotrám áṅgirobhyo 'vr̥ṇor ápa,vr̥ṇo,"[9, 10]",[],10,9,,L,S
10.088.12.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,10,10.088,10.088.12,d,P,ūrṇoti,3,intermediate,3.SG.PRS.IND.ACT,ápa u+_ ūrṇoti= támaḥ arcíṣā yán,ápo ūrṇoti támo arcíṣā yán,SL LLS SL LSL L,Triṣṭubh,P,['Arnold (C1)'],914,Surya and Vaisvanara,Hymns of Manyu,"SL LLS ,SL |LSL L",False,5,11,"['á', 'po', 'ūr', 'ṇo', 'ti', 'tá', 'mo', 'ar', 'cí', 'ṣā', 'yán']",,True,0,scansion_post_caesura=SL,[7],ápo ūrṇoti támo arcíṣā yán,ūrṇo,"[3, 4]",[],4,3,,X,X
10.120.08.d,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,10,10.12,10.120.08,d,P,avr̥ṇot,4,intermediate,3.SG.IPRF.IND.ACT,dúraḥ ca víśvāḥ= avr̥ṇot} ápa svā́ḥ,dúraś ca víśvā avr̥ṇod ápa svā́ḥ,SL S LL SSL SL L,Triṣṭubh,P,,946,Indra,Hymns of Manyu,"SL S LL ,SS|L_S_LL",False,5,11,"['dú', 'raś', 'ca', 'víś', 'vā', 'a', 'vr̥', 'ṇo', 'd á', 'pa s', 'vā́ḥ']",,True,1,,[],dúraś ca víśvā avr̥ṇod ápa svā́ḥ,vr̥ṇo,"[7, 8]",[],8,7,,L,S
10.139.06.b,vr̥ṇo ūrṇo,strong,vr̥ ūr,1,False,,Earlier & Later,fifth,vr̥,10,10.139,10.139.06,b,P,avr̥ṇot,2,intermediate,3.SG.IPRF.IND.ACT,ápa avr̥ṇot= dúraḥ áśmavrajānām,ápāvr̥ṇod dúro áśmavrajānām,SLSL SL LLSLL,Triṣṭubh,P,['Arnold (C1)'],965,Surya,Hymns of Manyu,"SLSL ,SL L|LSLL",False,4,11,"['á', 'pā', 'vr̥', 'ṇod', 'dú', 'ro', 'áś', 'mav', 'ra', 'jā', 'nām']",,True,0,scansion_post_caesura=SL,[6],ápāvr̥ṇod dúro áśmavrajānām,vr̥ṇo,"[3, 4]",[],4,3,,X,X
05.040.09.d,śaknu,weak,śak,,False,,Earlier & Later,fifth,śak,5,5.04,05.040.09,d,PE2,áśaknuvan,3,,3.PL.PRS.IND.ACT,nahí anyé?_ áśaknuvan,nahí anyé áśaknuvan,SS LL SLSL,Aṇuṣṭubh,P,"['Oldenberg (O)', 'Arnold (C2)', 'Wuest (W)', 'Witzel (Z)']",394,"Indra, Surya and Atri",Hymns to Indra,SS LL |SLSL,False,-1,8,"['na', 'hí', 'an', 'yé', 'á', 'śak', 'nu', 'van']",,True,1,,[],nahí anyé áśaknuvan,śaknu,"[6, 7]",[],7,6,,S,L
01.047.02.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.047,01.047.02,d,M,śr̥ṇutam,3,verse final,2.DU.PRS.IMP.ACT,téṣām sú śr̥ṇutam hávam,téṣāṁ sú śr̥ṇutaṁ hávam,LL S SSL SL,,S,,47,Asvins,Hymns of Praskanva,LL S SSL SL,False,-1,8,"['té', 'ṣāṁ', 'sú', 'śr̥', 'ṇu', 'taṁ', 'há', 'vam']",,True,-1,,[],téṣāṁ sú śr̥ṇutaṁ hávam,śr̥ṇu,"[4, 5]",[],5,4,,,
01.082.01.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.082,01.082.01,a,M,śr̥ṇuhí,4,verse final,2.SG.PRS.IMP.ACT,úpa u+_ sú śr̥ṇuhī́?_+ gíraḥ,úpo ṣú śr̥ṇuhī́ gíro,SL S SSL SL,,n,,82,Indra,"Hymns of Gotama, the Son of Rahugana",SL S SSL SL,False,-1,8,"['ú', 'po', 'ṣú', 'śr̥', 'ṇu', 'hī́', 'gí', 'ro']",,True,-1,,[],úpo ṣú śr̥ṇuhī́ gíro,śr̥ṇu,"[4, 5]",[],5,4,,,
01.086.02.c,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.086,01.086.02,c,M,śr̥ṇutá,2,verse final,2.PL.PRS.IMP.ACT,márutaḥ śr̥ṇutā́+ hávam,márutaḥ śr̥ṇutā́ hávam,SSL SSL SL,Gāyatrī,n,,86,The Maruts,"Hymns of Gotama, the Son of Rahugana",SSL S|SL SL,False,-1,8,"['má', 'ru', 'taḥ', 'śr̥', 'ṇu', 'tā́', 'há', 'vam']",,True,1,,[],márutaḥ śr̥ṇutā́ hávam,śr̥ṇu,"[4, 5]",[],5,4,,S,X
01.089.04.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.089,01.089.04,d,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,tát aśvinā= śr̥ṇutam dhiṣṇyā yuvám,tád aśvinā śr̥ṇutaṁ dhiṣṇiyā yuvám,S LSL SSL LSL SL,,n,,89,All the Gods,"Hymns of Gotama, the Son of Rahugana",S_LSL SSL LSL SL,False,-1,12,"['tá', 'd aś', 'vi', 'nā', 'śr̥', 'ṇu', 'taṁ', 'dhiṣ', 'ṇi', 'yā', 'yu', 'vám']",,True,-1,,[],tád aśvinā śr̥ṇutaṁ dhiṣṇiyā yuvám,śr̥ṇu,"[5, 6]",[],6,5,,,
01.089.08.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.089,01.089.08,a,M,śr̥ṇuyāma,3,verse final,1.PL.PRS.OPT.ACT,bhadrám kárṇebhiḥ= śr̥ṇuyāma devāḥ,bhadráṁ kárṇebhiḥ śr̥ṇuyāma devā,LL LLL SSLS LL,Triṣṭubh,n,,89,All the Gods,"Hymns of Gotama, the Son of Rahugana","LL LLL ,SS|LS LL",False,5,11,"['bhad', 'ráṁ', 'kár', 'ṇe', 'bhiḥ', 'śr̥', 'ṇu', 'yā', 'ma', 'de', 'vā']",,True,1,,[],bhadráṁ kárṇebhiḥ śr̥ṇuyāma devā,śr̥ṇu,"[6, 7]",[],7,6,,S,X
01.093.01.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.093,01.093.01,b,DE2,śr̥ṇutám,1,intermediate,2.DU.PRS.IMP.ACT,śr̥ṇutám vr̥ṣaṇā hávam,śr̥ṇutáṁ vr̥ṣaṇā hávam,SSL SSL SL,Aṇuṣṭubh,p,['Wuest (w)'],93,Agni and Soma,"Hymns of Gotama, the Son of Rahugana",SSL S|SL SL,False,-1,8,"['śr̥', 'ṇu', 'táṁ', 'vr̥', 'ṣa', 'ṇā', 'há', 'vam']",,True,1,,[],śr̥ṇutáṁ vr̥ṣaṇā hávam,śr̥ṇu,"[1, 2]",[],2,1,,X,X
01.104.09.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.104,01.104.09,d,M,śr̥ṇuhi,4,verse final,2.SG.PRS.IMP.ACT,pitā́ iva naḥ= śr̥ṇuhi hūyámānaḥ,pitéva naḥ śr̥ṇuhi hūyámānaḥ,SLS L SSS LSLL,Triṣṭubh,A,"['Oldenberg (O)', 'Wuest (W)']",104,Indra,"Hymns of Kutsa, the Angiras","SLS L ,SSS |LSLL",False,4,11,"['pi', 'té', 'va', 'naḥ', 'śr̥', 'ṇu', 'hi', 'hū', 'yá', 'mā', 'naḥ']",,True,1,,[],pitéva naḥ śr̥ṇuhi hūyámānaḥ,śr̥ṇu,"[5, 6]",[],6,5,,S,X
01.118.03.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.118,01.118.03,b,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,dásrau imám= śr̥ṇutam ślókam ádreḥ,dásrāv imáṁ śr̥ṇutaṁ ślókam ádreḥ,LL SL SSL LS LL,Triṣṭubh,N,,118,Asvins,"Hymns of Kaksivat, the Son of Dirghatamas and Usij","LL_SL ,SSL |LS_LL",False,4,11,"['dás', 'rā', 'v i', 'máṁ', 'śr̥', 'ṇu', 'taṁ', 'śló', 'ka', 'm ád', 'reḥ']",,True,1,,[],dásrāv imáṁ śr̥ṇutaṁ ślókam ádreḥ,śr̥ṇu,"[5, 6]",[],6,5,,S,X
01.131.07.e,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.131,01.131.07,e,M,śr̥ṇuṣvá,1,verse final,2.SG.PRS.IMP.MED,śr̥ṇuṣvá suśrávastamaḥ,śr̥ṇuṣvá suśrávastamaḥ,SLS LSLSL,,s,,131,Indra,"Hymns of Parucchepa, Son of Divodasa",SLS LSLSL,False,-1,8,"['śr̥', 'ṇuṣ', 'vá', 'suś', 'rá', 'vas', 'ta', 'maḥ']",,True,-1,,[],śr̥ṇuṣvá suśrávastamaḥ,śr̥ṇu,"[1, 2]",[],2,1,,,
01.139.07.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.139,01.139.07,a,M,śr̥ṇuhi,6,intermediate,2.SG.PRS.IMP.ACT,ā́ u+_ sū́-_+ naḥ agne-_= śr̥ṇuhi} tvám īḷitáḥ,ó ṣū́ ṇo agne śr̥ṇuhi tvám īḷitó,L L L LL SSL S LSL,,N,"['Oldenberg (o)', 'Wuest (w)']",139,All the Gods,"Hymns of Parucchepa, Son of Divodasa",L L L LL SS_LS_LSL,False,-1,12,"['ó', 'ṣū́', 'ṇo', 'ag', 'ne', 'śr̥', 'ṇu', 'hi t', 'vá', 'm ī', 'ḷi', 'tó']",,True,-1,,[],ó ṣū́ ṇo agne śr̥ṇuhi tvám īḷitó,śr̥ṇu,"[6, 7]",[],7,6,,,
01.181.07.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,1,1.181,01.181.07,d,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,yā́man áyāman= śr̥ṇutam} hávam me-_,yā́mann áyāmañ chr̥ṇutaṁ hávam me,LL SLL SSL SL L,Triṣṭubh,A,,181,Asvins,Hymns of Agastya,"LL_SLL ,SS|L SL L",False,5,11,"['yā́', 'man', 'n á', 'yā', 'mañ', 'cchr̥', 'ṇu', 'taṁ', 'há', 'vam', 'me']",,True,1,,[],yā́mann áyāmañ cchr̥ṇutaṁ hávam me,cchr̥ṇu,"[6, 7]",[],7,6,,S,X
02.041.13.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,2,2.041,02.041.13,b,MR,śr̥ṇutá,1,intermediate,2.PL.PRS.IMP.ACT,śr̥ṇutā́+ me-_ imám hávam,śr̥ṇutā́ ma imáṁ hávam,SSL S SL SL,Gāyatrī,N,,232,Diverse Gods,Hymns to Various Gods,SSL S |SL SL,False,-1,8,"['śr̥', 'ṇu', 'tā́', 'ma', 'i', 'máṁ', 'há', 'vam']",,True,1,,[],śr̥ṇutā́ ma imáṁ hávam,śr̥ṇu,"[1, 2]",[],2,1,,X,X
03.058.03.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,3,3.058,03.058.03,b,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,dásrau imám= śr̥ṇutam ślókam ádreḥ,dásrāv imáṁ śr̥ṇutaṁ ślókam ádreḥ,LL SL SSL LS LL,Triṣṭubh,N,,292,Asvins,Hymns to Various Gods,"LL_SL ,SSL |LS_LL",False,4,11,"['dás', 'rā', 'v i', 'máṁ', 'śr̥', 'ṇu', 'taṁ', 'śló', 'ka', 'm ád', 'reḥ']",,True,1,,[],dásrāv imáṁ śr̥ṇutaṁ ślókam ádreḥ,śr̥ṇu,"[5, 6]",[],6,5,,S,X
03.062.02.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,3,3.062,03.062.02,d,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,divā́ pr̥thivyā́= śr̥ṇutam} hávam me-_,divā́ pr̥thivyā́ śr̥ṇutaṁ hávam me,SL SLL SSL SL L,Triṣṭubh,N,,296,Diverse Gods,Hymns to Various Gods,"SL SLL ,SS|L SL L",False,5,11,"['di', 'vā́', 'pr̥', 'thiv', 'yā́', 'śr̥', 'ṇu', 'taṁ', 'há', 'vam', 'me']",,True,1,,[],divā́ pr̥thivyā́ śr̥ṇutaṁ hávam me,śr̥ṇu,"[6, 7]",[],7,6,,S,X
04.009.07.c,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,4,4.009,04.009.07,c,M,śr̥ṇudhi,2,verse final,2.SG.PRS.IMP.ACT,asmā́kam śr̥ṇudhī?_+ hávam,asmā́kaṁ śr̥ṇudhī hávam,LLL SSL SL,Gāyatrī,S,,305,Agni,Hymns to Agni,LLL S|SL SL,False,-1,8,"['as', 'mā́', 'kaṁ', 'śr̥', 'ṇu', 'dhī', 'há', 'vam']",,True,1,,[],asmā́kaṁ śr̥ṇudhī hávam,śr̥ṇu,"[4, 5]",[],5,4,,S,X
04.022.10.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,4,4.022,04.022.10,a,M,śr̥ṇuhi,4,intermediate,2.SG.PRS.IMP.ACT,asmā́kam ít sú= śr̥ṇuhi} tvám indra,asmā́kam ít sú śr̥ṇuhi tvám indra,LLS L S SSL S LS,Triṣṭubh,S,,318,Indra,Hymns to Indra,"LLS_L ,S SS|_LS_LS",False,4,11,"['as', 'mā́', 'ka', 'm ít', 'sú', 'śr̥', 'ṇu', 'hi t', 'vá', 'm in', 'dra']",caesura_position_alt=5,True,1,,[],asmā́kam ít sú śr̥ṇuhi tvám indra,śr̥ṇu,"[6, 7]",[],7,6,,X,S
06.052.07.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,6,6.052,06.052.07,b,MR,śr̥ṇutá,1,intermediate,2.PL.PRS.IMP.ACT,śr̥ṇutā́+ me-_ imám hávam,śr̥ṇutā́ ma imáṁ hávam,SSL S SL SL,Gāyatrī,C,,493,All the Gods,Hymns to All the Gods,SSL S |SL SL,False,-1,8,"['śr̥', 'ṇu', 'tā́', 'ma', 'i', 'máṁ', 'há', 'vam']",,True,1,,[],śr̥ṇutā́ ma imáṁ hávam,śr̥ṇu,"[1, 2]",[],2,1,,X,X
06.052.13.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,6,6.052,06.052.13,a,M,śr̥ṇutá,3,intermediate,2.PL.PRS.IMP.ACT,víśve?_ devāḥ= śr̥ṇutá imám} hávam me-_,víśve devāḥ śr̥ṇutémáṁ hávam me,LL LL SSLL SL L,Triṣṭubh,A,"['Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",493,All the Gods,Hymns to All the Gods,"LL LL ,SSL|L SL L",False,4,11,"['víś', 've', 'de', 'vāḥ', 'śr̥', 'ṇu', 'té', 'máṁ', 'há', 'vam', 'me']",,True,1,,[],víśve devāḥ śr̥ṇutémáṁ hávam me,śr̥ṇu,"[5, 6]",[],6,5,,S,X
06.060.15.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,6,6.06,06.060.15,a,M,śr̥ṇutám,2,verse final,2.DU.PRS.IMP.ACT,índrāgnī+_ śr̥ṇutám hávam,índrāgnī śr̥ṇutáṁ hávaṁ,LLL SSL SL,Aṇuṣṭubh,A,"['Grassmann (G)', 'Oldenberg (o)', 'Wuest (w)']",501,Indra and Agni,Hymns to Various Gods,LLL S|SL SL,False,-1,8,"['ín', 'drāg', 'nī', 'śr̥', 'ṇu', 'táṁ', 'há', 'vaṁ']",,True,1,,[],índrāgnī śr̥ṇutáṁ hávaṁ,śr̥ṇu,"[4, 5]",[],5,4,,S,X
06.069.04.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,6,6.069,06.069.04,d,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,úpa bráhmāṇi= śr̥ṇutam} gíraḥ me-_,úpa bráhmāṇi śr̥ṇutaṁ gíro me,SL LLS SSL SL L,Triṣṭubh,C,,510,Indra and Vishnu,Hymns to Various Gods,"S_LLLS ,SS|L SL L",False,5,11,"['ú', 'pa b', 'ráh', 'mā', 'ṇi', 'śr̥', 'ṇu', 'taṁ', 'gí', 'ro', 'me']",,True,1,,[],úpa bráhmāṇi śr̥ṇutaṁ gíro me,śr̥ṇu,"[6, 7]",[],7,6,,S,X
06.069.07.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,6,6.069,06.069.07,d,M,śr̥ṇutam,3,intermediate,2.DU.PRS.IMP.ACT,úpa bráhmāṇi= śr̥ṇutam} hávam me-_,úpa bráhmāṇi śr̥ṇutaṁ hávam me,SL LLS SSL SL L,Triṣṭubh,C,,510,Indra and Vishnu,Hymns to Various Gods,"S_LLLS ,SS|L SL L",False,5,11,"['ú', 'pa b', 'ráh', 'mā', 'ṇi', 'śr̥', 'ṇu', 'taṁ', 'há', 'vam', 'me']",,True,1,,[],úpa bráhmāṇi śr̥ṇutaṁ hávam me,śr̥ṇu,"[6, 7]",[],7,6,,S,X
07.028.01.d,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,7,7.028,07.028.01,d,M,śr̥ṇuhi,3,verse final,2.SG.PRS.IMP.ACT,asmā́kam ít= śr̥ṇuhi viśvaminva,asmā́kam íc chr̥ṇuhi viśvaminva,LLS L SSS LSLS,Triṣṭubh,S,,544,Indra,Hymns to Indra,"LLS_L ,SSS |LSLS",False,4,11,"['as', 'mā́', 'ka', 'm íc', 'cchr̥', 'ṇu', 'hi', 'viś', 'va', 'min', 'va']",,True,1,,[],asmā́kam íc cchr̥ṇuhi viśvaminva,cchr̥ṇu,"[5, 6]",[],6,5,,S,X
07.067.10.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,7,7.067,07.067.10,a,M,śr̥ṇutam,5,verse final,2.DU.PRS.IMP.ACT,nū́-_+ me-_ hávam= ā́ śr̥ṇutam} yuvānā,nū́ me hávam ā́ śr̥ṇutaṁ yuvānā,L L SS L SSL SLL,Triṣṭubh,S,,583,Asvins,Hymns to the Asvins,"L L SS_L ,SS|L SLL",False,5,11,"['nū́', 'me', 'há', 'va', 'm ā́', 'śr̥', 'ṇu', 'taṁ', 'yu', 'vā', 'nā']",,True,1,,[],nū́ me hávam ā́ śr̥ṇutaṁ yuvānā,śr̥ṇu,"[6, 7]",[],7,6,,S,X
07.069.08.a,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,7,7.069,07.069.08,a,MR,śr̥ṇutam,5,verse final,2.DU.PRS.IMP.ACT,nū́-_+ me-_ hávam= ā́ śr̥ṇutam} yuvānā,nū́ me hávam ā́ śr̥ṇutaṁ yuvānā,L L SS L SSL SLL,Triṣṭubh,S,,585,Asvins,Hymns to the Asvins,"L L SS_L ,SS|L SLL",False,5,11,"['nū́', 'me', 'há', 'va', 'm ā́', 'śr̥', 'ṇu', 'taṁ', 'yu', 'vā', 'nā']",,True,1,,[],nū́ me hávam ā́ śr̥ṇutaṁ yuvānā,śr̥ṇu,"[6, 7]",[],7,6,,S,X
07.082.08.b,śr̥ṇu,weak,śr̥,,False,,Earlier & Later,fifth,śru,7,7.082,07.082.08,b,M,śr̥ṇutám,1,intermediate,2.DU.PRS.IMP.ACT,śr̥ṇutám hávam= yádi me-_} jújoṣathaḥ,śr̥ṇutáṁ hávaṁ yádi me jújoṣathaḥ,SSL SL SS L SLSL,Jagatī,C,,598,Indra and Varuna,Hymns to Indra and Varuna,"SSL SL ,SS |L SLSL",False,5,12,"['śr̥', 'ṇu', 'táṁ', 'há', 'vaṁ', 'yá', 'di', 'me', 'jú', 'jo', 'ṣa', 'thaḥ']",,True,1,,[],śr̥ṇutáṁ hávaṁ yádi me jújoṣathaḥ,śr̥ṇu,"[1, 2]",[],2,1,,X,X
