01.001.01a | agním īḷe puróhitaṁ

10.118.01a | ágne háṁsi ní atríṇaṁ
10.118.01b | dī́diyan mártiyeṣu ā́
10.118.01c | suvé kṣáye śucivrata

10.118.02a | út tiṣṭhasi súāhuto
10.118.02b | ghr̥tā́ni práti modase
10.118.02c | yát tvā srúcaḥ samásthiran

10.118.03a | sá ā́huto ví rocate
10.118.03b | agnír īḷéniyo girā́
10.118.03c | srucā́ prátīkam ajyate

10.118.04a | ghr̥ténāgníḥ sám ajyate
10.118.04b | mádhupratīka ā́hutaḥ
10.118.04c | rócamāno vibhā́vasuḥ

10.118.05a | járamāṇaḥ sám idhyase
10.118.05b | devébhyo havyavāhana
10.118.05c | táṁ tvā havanta mártiyāḥ

10.118.06a | tám martiā@ ámartiyaṁ
10.118.06b | ghr̥ténāgníṁ saparyata
10.118.06c | ádābhiyaṁ gr̥hápatim

10.118.07a | ádābhiyena śocíṣā
10.118.07b | ágne rákṣas tuváṁ daha
10.118.07c | gopā́ r̥tásya dīdihi

10.118.08a | sá tvám agne prátīkena
10.118.08b | práty oṣa yātudhāníyaḥ
10.118.08c | urukṣáyeṣu dī́diyat

10.118.09a | táṁ tvā gīrbhír urukṣáyā
10.118.09b | havyavā́haṁ sám īdhire
10.118.09c | yájiṣṭham mā́nuṣe jáne

10.119.01a | íti vā́ íti me máno
10.119.01b | gā́m áśvaṁ sanuyām íti
10.119.01c | kuvít sómasyā́pām íti

10.119.02a | prá vā́tā iva dódhata
10.119.02b | ún mā pītā́ ayaṁsata
10.119.02c | kuvít sómasyā́pām íti

10.119.03a | ún mā pītā́ ayaṁsata
10.119.03b | rátham áśvā ivāśávaḥ
10.119.03c | kuvít sómasyā́pām íti

10.119.04a | úpa mā matír asthita
10.119.04b | vāśrā́ putrám iva priyám
10.119.04c | kuvít sómasyā́pām íti

10.119.05a | aháṁ táṣṭeva vandhúram
10.119.05b | páry acāmi hr̥dā́ matím
10.119.05c | kuvít sómasyā́pām íti

10.119.06a | nahí me akṣipác caná
10.119.06b | áchāntsuḥ páñca kr̥ṣṭáyaḥ
10.119.06c | kuvít sómasyā́pām íti

10.119.07a | nahí me ródasī ubhé
10.119.07b | anyám pakṣáṁ caná práti
10.119.07c | kuvít sómasyā́pām íti

10.119.08a | abhí dyā́m mahinā́ bhuvam
10.119.08b | abhī́mā́m pr̥thivī́m mahī́m
10.119.08c | kuvít sómasyā́pām íti

10.119.09a | hántāhám pr̥thivī́m imā́ṁ
10.119.09b | ní dadhānīhá vehá vā
10.119.09c | kuvít sómasyā́pām íti

10.119.10a | oṣám ít pr̥thivī́m aháṁ
10.119.10b | jaṅghánānīhá vehá vā
10.119.10c | kuvít sómasyā́pām íti

10.119.11a | diví me anyáḥ pakṣó
10.119.11b | adhó anyám acīkr̥ṣam
10.119.11c | kuvít sómasyā́pām íti

10.119.12a | ahám asmi mahāmahó
10.119.12b | abhinabhyám údīṣitaḥ
10.119.12c | kuvít sómasyā́pām íti

10.119.13a | gr̥hó yāmi áraṁkr̥to
10.119.13b | devébhyo havyavā́hanaḥ
10.119.13c | kuvít sómasyā́pām íti

10.120.01a | tád íd āsa bhúvaneṣu jyáyiṣṭhaṁ+
10.120.01b | yáto jajñá ̀ ugrás tveṣánr̥mṇaḥ
10.120.01c | sadyó jajñānó ní riṇāti śátrūn
10.120.01d | ánu yáṁ víśve mádanti ū́māḥ

10.120.02a | vāvr̥dhānáḥ śávasā bhū́riojāḥ
10.120.02b | śátrur dāsā́ya bhiyásaṁ dadhāti
10.120.02c | ávianac ca vianác ca sásni
10.120.02d | sáṁ te navanta prábhr̥tā mádeṣu

10.120.03a | tuvé krátum ápi vr̥ñjanti víśve
10.120.03b | duvír yád eté trír bhávanti ū́māḥ
10.120.03c | svādóḥ svā́dīyaḥ svādúnā sr̥jā sám
10.120.03d | adáḥ sú mádhu mádhunābhí yodhīḥ

10.120.04a | íti cid dhí tvā dhánā jáyantam
10.120.04b | máde-made anumádanti víprāḥ
10.120.04c | ójīyo dhr̥ṣṇo sthirám ā́ tanuṣva
10.120.04d | mā́ tvā dabhan yātudhā́nā durévāḥ

10.120.05a | tváyā vayáṁ śāśadmahe ráṇeṣu
10.120.05b | prapáśyanto yudhéniyāni bhū́ri
10.120.05c | codáyāmi ta ā́yudhā vácobhiḥ
10.120.05d | sáṁ te śiśāmi bráhmaṇā váyāṁsi

10.120.06a | stuṣéyiyam puruvárpasam ŕ̥bhvam
10.120.06b | inátamam āptiyám āptiyā́nām
10.120.06c | ā́ darṣate śávasā saptá dā́nūn
10.120.06d | prá sākṣate pratimā́nāni bhū́ri

10.120.07a | ní tád dadhiṣe ávaram páraṁ ca
10.120.07b | yásminn ā́vitha ávasā duroṇé
10.120.07c | ā́ mātárā sthāpayase jigatnū́
10.120.07d | áta inoṣi kárvarā purū́ṇi

10.120.08a | imā́ bráhma br̥háddivo vivakti
10.120.08b | índrāya śūṣám agriyáḥ suarṣā́ḥ
10.120.08c | mahó gotrásya kṣayati svarā́jo
10.120.08d | dúraś ca víśvā avr̥ṇod ápa svā́ḥ

10.120.09a | evā́ mahā́n br̥háddivo átharvā
10.120.09b | ávocat svā́ṁ tanúvam índram evá
10.120.09c | svásāro mātaríbhvarīr ariprā́
10.120.09d | hinvánti ca śávasā vardháyanti ca

10.121.01a | hiraṇyagarbháḥ sám avartatā́gre
10.121.01b | bhūtásya jātáḥ pátir éka āsīt
10.121.01c | sá dādhāra pr̥thivī́ṁ dyā́m utémā́ṁ
10.121.01d | kásmai devā́ya havíṣā vidhema

10.121.02a | yá ātmadā́ baladā́ yásya víśva
10.121.02b | upā́sate praśíṣaṁ yásya devā́ḥ
10.121.02c | yásya chāyā́ ámŕ̥taṁ yásya mr̥tyúḥ
10.121.02d | kásmai devā́ya havíṣā vidhema

10.121.03a | yáḥ prāṇató nimiṣató mahitvā́
10.121.03b | éka íd rā́jā jágato babhū́va
10.121.03c | yá ī́śe asyá dvipádaś cátuṣpadaḥ
10.121.03d | kásmai devā́ya havíṣā vidhema

10.121.04a | yásya imé himávanto mahitvā́
10.121.04b | yásya samudráṁ rasáyā sahā́húḥ
10.121.04c | yásya imā́ḥ pradíśo yásya bāhū́
10.121.04d | kásmai devā́ya havíṣā vidhema

10.121.05a | yéna dyaúr ugrā́ pr̥thivī́ ca dr̥r̥ḷhā́+
10.121.05b | yéna súva stabhitáṁ yéna nā́kaḥ
10.121.05c | yó antárikṣe rájaso vimā́naḥ
10.121.05d | kásmai devā́ya havíṣā vidhema

10.121.06a | yáṁ krándasī ávasā tastabhāné
10.121.06b | abhy aíkṣetām mánasā réjamāne
10.121.06c | yátrā́dhi sū́ra údito vibhā́ti
10.121.06d | kásmai devā́ya havíṣā vidhema

10.121.07a | ā́po ha yád br̥hatī́r víśvam ā́yan
10.121.07b | gárbhaṁ dádhānā janáyantīr agním
10.121.07c | táto devā́nāṁ sám avartatā́sur ékaḥ
10.121.07d | kásmai devā́ya havíṣā vidhema

10.121.08a | yáś cid ā́po mahinā́ paryápaśyad
10.121.08b | dákṣaṁ dádhānā janáyantīr yajñám
10.121.08c | yó devéṣv ádhi devá éka ā́sīt
10.121.08d | kásmai devā́ya havíṣā vidhema

10.121.09a | mā́ no hiṁsīj janitā́ yáḥ pr̥thivyā́
10.121.09b | yó vā dívaṁ satyádharmā jajā́na
10.121.09c | yáś cāpáś candrā́ br̥hatī́r jajā́na
10.121.09d | kásmai devā́ya havíṣā vidhema

10.121.10a | prájāpate ná tvád etā́ni anyó
10.121.10b | víśvā jātā́ni pári tā́ babhūva
10.121.10c | yátkāmās te juhumás tán no astu
10.121.10d | vayáṁ siyāma pátayo rayīṇā́m

10.122.01a | vásuṁ ná citrámahasaṁ gr̥ṇīṣe
10.122.01b | vāmáṁ śévam átithim adviṣeṇyám
10.122.01c | sá rāsate śurúdho viśvádhāyaso
10.122.01d | agnír hótā gr̥hápatiḥ suvī́ryam

10.122.02a | juṣāṇó agne práti harya me váco
10.122.02b | víśvāni vidvā́n vayúnāni sukrato
10.122.02c | ghŕ̥tanirṇig bráhmaṇe gātúm éraya
10.122.02d | táva devā́ ajanayann ánu vratám

10.122.03a | saptá dhā́māni pariyánn ámartiyo
10.122.03b | dā́śad dāśúṣe sukŕ̥te māmahasva
10.122.03c | suvī́reṇa rayíṇāgne suābhúvā
10.122.03d | yás ta ā́naṭ samídhā táṁ juṣasva

10.122.04a | yajñásya ketúm prathamám puróhitaṁ
10.122.04b | havíṣmanta īḷate saptá vājínam
10.122.04c | śr̥ṇvántam agníṁ ghr̥tápr̥ṣṭham ukṣáṇam
10.122.04d | pr̥ṇántaṁ devám pr̥ṇaté suvī́riyam

10.122.05a | tuváṁ dūtáḥ ̀ prathamó váreṇyaḥ
10.122.05b | sá hūyámāno amŕ̥tāya matsva
10.122.05c | tvā́m marjayan marúto dāśúṣo gr̥hé
10.122.05d | tuvā́ṁ stómebhir bhŕ̥gavo ví rurucuḥ

10.122.06a | íṣaṁ duhán sudúghāṁ viśvádhāyasaṁ
10.122.06b | yajñapríye yájamānāya sukrato
10.122.06c | ágne ghr̥tásnus trír r̥tā́ni dī́diyad
10.122.06d | vartír yajñám pariyán sukratūyase

10.122.07a | tuvā́m íd asyā́ uṣáso víuṣṭiṣu
10.122.07b | dūtáṁ kr̥ṇvānā́ ayajanta mā́nuṣāḥ
10.122.07c | tvā́ṁ devā́ mahayā́yiyāya vāvr̥dhur
10.122.07d | ā́jiyam agne nimr̥jánto adhvaré

10.122.08a | ní tvā vásiṣṭhā ahuvanta vājínaṁ
10.122.08b | gr̥ṇánto agne vidátheṣu vedhásaḥ
10.122.08c | rāyás póṣaṁ yájamāneṣu dhāraya
10.122.08d | yūyám pāta suastíbhiḥ sádā naḥ

10.123.01a | ayáṁ venáś codayat pŕ̥śnigarbhā
10.123.01b | jyótirjarāyū rájaso vimā́ne
10.123.01c | imám apā́ṁ saṁgamé sū́riyasya
10.123.01d | śíśuṁ ná víprā matíbhī rihanti

10.123.02a | samudrā́d ūrmím úd iyarti venó
10.123.02b | nabhojā́ḥ pr̥ṣṭháṁ haryatásya darśi
10.123.02c | r̥tásya sā́nāv ádhi viṣṭápi bhrā́ṭ
10.123.02d | samānáṁ yónim abhy a\nūṣata vrā́ḥ

10.123.03a | samānám pūrvī́r abhí vāvaśānā́s
10.123.03b | tíṣṭhan vatsásya mātáraḥ sánīḷāḥ
10.123.03c | r̥tásya sā́nāv ádhi cakramāṇā́
10.123.03d | rihánti mádhvo amŕ̥tasya vā́ṇīḥ

10.123.04a | jānánto rūpám akr̥panta víprā
10.123.04b | mr̥gásya ghóṣam mahiṣásya hí gmán
10.123.04c | r̥téna yánto ádhi síndhum asthur
10.123.04d | vidád gandharvó amŕ̥tāni nā́ma

10.123.05a | apsarā́ jārám upasiṣmiyāṇā́
10.123.05b | yóṣā bibharti paramé víoman
10.123.05c | cárat priyásya yóniṣu priyáḥ sán
10.123.05d | sī́dat pakṣé hiraṇyáye sá venáḥ

10.123.06a | nā́ke suparṇám úpa yát pátantaṁ
10.123.06b | hr̥dā́ vénanto abhy ácakṣata tvā
10.123.06c | híraṇyapakṣaṁ váruṇasya dūtáṁ
10.123.06d | yamásya yónau śakunám bhuraṇyúm

10.123.07a | ūrdhvó gandharvó ádhi nā́ke asthāt
10.123.07b | pratyáṅ citrā́ bíbhrad asyā́yudhāni
10.123.07c | vásāno átkaṁ surabhíṁ dr̥śé káṁ
10.123.07d | súvar ṇá nā́ma janata priyā́ṇi

10.123.08a | drapsáḥ samudrám abhí yáj jígāti
10.123.08b | páśyan gŕ̥dhrasya cákṣasā vídharman
10.123.08c | bhānúḥ śukréṇa śocíṣā cakānás
10.123.08d | tr̥tī́ye cakre rájasi priyā́ṇi

10.124.01a | imáṁ no agna úpa yajñám éhi
10.124.01b | páñcayāmaṁ trivŕ̥taṁ saptátantum
10.124.01c | áso havyavā́ḷ utá naḥ purogā́
10.124.01d | jyóg evá dīrgháṁ táma ā́śayiṣṭhāḥ

10.124.02a | ádevād deváḥ pracátā gúhā yán
10.124.02b | prapáśyamāno amr̥tatvám emi
10.124.02c | śiváṁ yát sántam áśivo jáhāmi
10.124.02d | suvā́t sakhyā́d áraṇīṁ nā́bhim emi

10.124.03a | páśyann anyásyā átithiṁ vayā́yā
10.124.03b | r̥tásya dhā́ma ví mime purū́ṇi
10.124.03c | śáṁsāmi pitré ásurāya śévam
10.124.03d | ayajñiyā́d yajñíyam bhāgám emi

10.124.04a | bahvī́ḥ sámā akaram antár asminn
10.124.04b | índraṁ vr̥ṇānáḥ pitáraṁ jahāmi
10.124.04c | agníḥ sómo váruṇas té cyavante
10.124.04d | paryā́vard rāṣṭráṁ tád avāmi āyán

10.124.05a | nírmāyā u tyé ásurā abhūvan
10.124.05b | tuváṁ ca mā varuṇa kāmáyāse
10.124.05c | r̥téna rājann ánr̥taṁ viviñcán
10.124.05d | máma rāṣṭrásya ádhipatyam éhi

10.124.06a | idáṁ súvar idám íd āsa vāmám
10.124.06b | ayám prakāśá urú antárikṣam
10.124.06c | hánāva vr̥tráṁ niréhi soma
10.124.06d | havíṣ ṭvā sántaṁ havíṣā yajāma

10.124.07a | kavíḥ kavitvā́ diví rūpám ā́sajad
10.124.07b | áprabhūtī váruṇo nír apáḥ sr̥jat
10.124.07c | kṣémaṁ kr̥ṇvānā́ jánayo ná síndhavas
10.124.07d | tā́ asya várṇaṁ śúcayo bharibhrati

10.124.08a | tā́ asya jyéṣṭham indriyáṁ sacante
10.124.08b | tā́ īm ā́ kṣeti svadháyā mádantīḥ
10.124.08c | tā́ īṁ víśo ná rā́jānaṁ vr̥ṇānā́
10.124.08d | bībhatsúvo ápa vr̥trā́d atiṣṭhan

10.124.09a | bībhatsū́nāṁ sayújaṁ haṁsám āhur
10.124.09b | apā́ṁ divyā́nāṁ sakhiyé cárantam
10.124.09c | anuṣṭúbham ánu carcūryámāṇam
10.124.09d | índraṁ ní cikyuḥ kaváyo manīṣā́

10.125.01a | aháṁ rudrébhir vásubhiś carāmi
10.125.01b | ahám ādityaír utá viśvádevaiḥ
10.125.01c | ahám mitrā́váruṇobhā́ bibharmi
10.125.01d | ahám indrāgnī́ ahám aśvínobhā́

10.125.02a | aháṁ sómam āhanásam bibharmi
10.125.02b | aháṁ tváṣṭāram utá pūṣáṇam bhágam
10.125.02c | aháṁ dadhāmi dráviṇaṁ havíṣmate
10.125.02d | suprāvíye yájamānāya sunvaté

10.125.03a | aháṁ rā́ṣṭrī saṁgámanī vásūnāṁ
10.125.03b | cikitúṣī prathamā́ yajñíyānām
10.125.03c | tā́m mā devā́ ví adadhuḥ purutrā́
10.125.03d | bhū́riṣṭhātrām bhū́ri āveśáyantīm

10.125.04a | máyā só ánnam atti yó vipáśyati
10.125.04b | yáḥ prā́ṇiti yá īṁ śr̥ṇóti uktám
10.125.04c | amantávo mā́ṁ tá úpa kṣiyanti
10.125.04d | śrudhí śruta śraddhiváṁ te vadāmi

10.125.05a | ahám evá svayám idáṁ vadāmi
10.125.05b | júṣṭaṁ devébhir utá mā́nuṣebhiḥ
10.125.05c | yáṁ kāmáye táṁ-tam ugráṁ kr̥ṇomi
10.125.05d | tám brahmā́ṇaṁ tám ŕ̥ṣiṁ táṁ sumedhā́m

10.125.06a | aháṁ rudrā́ya dhánur ā́ tanomi
10.125.06b | brahmadvíṣe śárave hántavā́ u
10.125.06c | aháṁ jánāya samádaṁ kr̥ṇomi
10.125.06d | aháṁ dyā́vāpr̥thivī́ ā́ viveśa

10.125.07a | aháṁ suve pitáram asya mūrdhán
10.125.07b | máma yónir apsú antáḥ samudré
10.125.07c | táto ví tiṣṭhe bhúvanā́nu víśvā
10.125.07d | utā́mū́ṁ dyā́ṁ varṣmáṇópa spr̥śāmi

10.125.08a | ahám evá vā́ta iva prá vāmi
10.125.08b | ārábhamāṇā bhúvanāni víśvā
10.125.08c | paró divā́ pará enā́ pr̥thivyā́
10.125.08d | etā́vatī mahinā́ sám babhūva

10.126.01a | ná tám áṁho ná duritáṁ
10.126.01b | dévāso aṣṭa mártiyam
10.126.01c | sajóṣaso yám aryamā́
10.126.01d | mitró náyanti váruṇo áti dvíṣaḥ

10.126.02a | tád dhí vayáṁ vr̥ṇīmáhe
10.126.02b | váruṇa mítra áryaman
10.126.02c | yénā nír áṁhaso yūyám
10.126.02d | pāthá nethā́ ca mártiyam áti dvíṣaḥ

10.126.03a | té nūnáṁ no 'yám ūtáye
10.126.03b | váruṇo mitró aryamā́
10.126.03c | náyiṣṭhā u no neṣáṇi
10.126.03d | párṣiṣṭhā u naḥ parṣáṇi áti dvíṣaḥ

10.126.04a | yūyáṁ víśvam pári pātha
10.126.04b | váruṇo mitró aryamā́
10.126.04c | yuṣmā́kaṁ śármaṇi priyé
10.126.04d | siyā́ma supraṇītayo áti dvíṣaḥ

10.126.05a | ādityā́so áti srídho
10.126.05b | váruṇo mitró aryamā́
10.126.05c | ugrám marúdbhī rudráṁ huvema
10.126.05d | índram agníṁ suastáye áti dvíṣaḥ

10.126.06a | nétāra ū ṣú ṇas tiró
10.126.06b | váruṇo mitró aryamā́
10.126.06c | áti víśvāni duritā́
10.126.06d | rā́jānaś carṣaṇīnáam áti dvíṣaḥ

10.126.07a | śunám asmábhyam ūtáye
10.126.07b | váruṇo mitró aryamā́
10.126.07c | śárma yachantu saprátha
10.126.07d | ādityā́so yád ī́mahe áti dvíṣaḥ

10.126.08a | yáthā ha tyád vasavo gauríyaṁ cit
10.126.08b | padí ṣitā́m ámuñcatā yajatrāḥ
10.126.08c | evó ṣú asmán muñcatā ví áṁhaḥ
10.126.08d | prá tāri agne prataráṁ na ā́yuḥ

10.127.01a | rā́trī ví akhyad āyatī́
10.127.01b | purutrā́ devī́ akṣábhiḥ
10.127.01c | víśvā ádhi śríyo 'dhita

10.127.02a | órú aprā ámartiyā
10.127.02b | niváto devī́ udvátaḥ
10.127.02c | jyótiṣā bādhate támaḥ

10.127.03a | nír u svásāram askr̥ta
10.127.03b | uṣásaṁ devī́ āyatī́
10.127.03c | ápéd u hāsate támaḥ

10.127.04a | sā́ no adyá yásyā vayáṁ
10.127.04b | ní te yā́mann ávikṣmahi
10.127.04c | vr̥kṣé ná vasatíṁ váyaḥ

10.127.05a | ní grā́māso avikṣata
10.127.05b | ní padvánto ní pakṣíṇaḥ
10.127.05c | ní śyenā́saś cid arthínaḥ

10.127.06a | yāváyā vr̥kíyaṁ vŕ̥kaṁ
10.127.06b | yaváya stenám ūrmiye
10.127.06c | áthā naḥ sutárā bhava

10.127.07a | úpa mā pépiśat támaḥ
10.127.07b | kr̥ṣṇáṁ víaktam asthita
10.127.07c | úṣa r̥ṇéva yātaya

10.127.08a | úpa te gā́ ivā́karaṁ
10.127.08b | vr̥ṇīṣvá duhitar divaḥ
10.127.08c | rā́tri stómaṁ ná jigyúṣe

10.128.01a | mámāgne várco vihavéṣu astu
10.128.01b | vayáṁ tvéndhānās tanúvam puṣema
10.128.01c | máhyaṁ namantām pradíśaś cátasras
10.128.01d | tváyā́dhyakṣeṇa pŕ̥tanā jayema

10.128.02a | máma devā́ vihavé santu sárva
10.128.02b | índravanto marúto víṣṇur agníḥ
10.128.02c | mámāntárikṣam urúlokam astu
10.128.02d | máhyaṁ vā́taḥ pavatāṁ kā́me asmín

10.128.03a | máyi devā́ dráviṇam ā́ yajantām
10.128.03b | máyy āśī́r astu máyi deváhūtiḥ
10.128.03c | daívyā hótāro vanuṣanta pū́rve
10.128.03d | áriṣṭāḥ syāma tanúvā suvī́rāḥ

10.128.04a | máhyaṁ yajantu máma yā́ni havyā́
10.128.04b | ā́kūtiḥ satyā́ mánaso me astu
10.128.04c | éno mā́ ní gāṁ katamác canā́háṁ
10.128.04d | víśve devāso ádhi vocatā naḥ

10.128.05a | dévīḥ ṣaḷ urvīr urú naḥ kr̥ṇota
10.128.05b | víśve devāsa ihá vīrayadhvam
10.128.05c | mā́ hāsmahi prajáyā mā́ tanū́bhir
10.128.05d | mā́ radhāma dviṣaté soma rājan

10.128.06a | ágne manyúm pratinudán páreṣām
10.128.06b | ádabdho gopā́ḥ pári pāhi nas tvám
10.128.06c | pratyáñco yantu nigútaḥ púnas té
10.128.06d | amaíṣāṁ cittám prabúdhāṁ ví neśat

10.128.07a | dhātā́ dhātr̥r̥ṇā́m bhúvanasya yás pátir
10.128.07b | deváṁ trātā́ram abhimātiṣāhám
10.128.07c | imáṁ yajñám aśvínobhā́ bŕ̥haspátir
10.128.07d | devā́ḥ pāntu yájamānaṁ niarthā́t

10.128.08a | uruvyácā no mahiṣáḥ śárma yaṁsad
10.128.08b | asmín háve puruhūtáḥ purukṣúḥ
10.128.08c | sá naḥ prajā́yai hariaśva mr̥r̥ḷaya+
10.128.08d | índra mā́ no rīriṣo mā́ párā dāḥ

10.128.09a | yé naḥ sapátnā ápa té bhavantu
10.128.09b | indrāgníbhyām áva bādhāmahe tā́n
10.128.09c | vásavo rudrā́ ādityā́ uparispŕ̥śam mā
10.128.09d | ugráṁ céttāram adhirājám akran

10.129.01a | nā́sad āsīn nó sád āsīt tadā́nīṁ
10.129.01b | nā́sīd rájo nó víomā paró yát
10.129.01c | kím ā́varīvaḥ kúha kásya śármann
10.129.01d | ámbhaḥ kím āsīd gáhanaṁ gabhīrám

10.129.02a | ná mr̥tyúr āsīd amŕ̥taṁ ná tárhi
10.129.02b | ná rā́triyā áhna āsīt praketáḥ
10.129.02c | ā́nīd avātáṁ svadháyā tád ékaṁ
10.129.02d | tásmād dhānyán ná paráḥ kíṁ canā́sa

10.129.03a | táma āsīt támasā gūḷhám ágre
10.129.03b | apraketáṁ saliláṁ sárvam ā idám
10.129.03c | tuchyénābhú ápihitaṁ yád ā́sīt
10.129.03d | tápasas tán mahinā́jāyataíkam

10.129.04a | kā́mas tád ágre sám avartatā́dhi
10.129.04b | mánaso rétaḥ prathamáṁ yád ā́sīt
10.129.04c | sató bándhum ásati nír avindan
10.129.04d | hr̥dí pratī́ṣyā kaváyo manīṣā́

10.129.05a | tiraścī́no vítato raśmír eṣām
10.129.05b | adháḥ svid āsī́3d upári svid āsī3t
10.129.05c | retodhā́ āsan mahimā́na āsan
10.129.05d | svadhā́ avástāt práyatiḥ parástāt

10.129.06a | kó addhā́ veda ká ihá prá vocat
10.129.06b | kúta ā́jātā kúta iyáṁ vísr̥ṣṭiḥ
10.129.06c | arvā́g devā́ asyá visárjanena
10.129.06d | áthā kó veda yáta ābabhū́va

10.129.07a | iyáṁ vísr̥ṣṭir yáta ābabhū́va
10.129.07b | yádi vā dadhé yádi vā ná
10.129.07c | yó asyā́dhyakṣaḥ paramé víoman
10.129.07d | só aṅgá veda yádi vā ná véda

10.130.01a | yó yajñó ̀ viśvátas tántubhis tatá
10.130.01b | ékaśataṁ devakarmébhir ā́yataḥ
10.130.01c | imé vayanti pitáro yá āyayúḥ
10.130.01d | prá vayā́pa vayéti āsate taté

10.130.02a | púmām̐ enaṁ tanuta út kr̥ṇatti
10.130.02b | púmān ví tatne ádhi nā́ke asmín
10.130.02c | imé mayū́khā úpa sedur ū sádaḥ
10.130.02d | sā́māni cakrus tásarāṇi ótave

10.130.03a | kā́sīt pramā́ pratimā́ kíṁ nidā́nam
10.130.03b | ā́jyaṁ kím āsīt paridhíḥ ká āsīt
10.130.03c | chándaḥ kím āsīt prá~ugaṁ kím uktháṁ
10.130.03d | yád devā́ devám áyajanta víśve

10.130.04a | agnér gāyatrī́ abhavat sayúgvā
10.130.04b | uṣṇíhayā savitā́ sám babhūva
10.130.04c | anuṣṭúbhā sóma ukthaír máhasvān
10.130.04d | bŕ̥haspáter br̥hatī́ vā́cam āvat

10.130.05a | virā́ṇ mitrā́váruṇayor abhiśrī́r
10.130.05b | índrasya triṣṭúb ihá bhāgó áhnaḥ
10.130.05c | víśvān devā́ñ jágatī ā́ viveśa
10.130.05d | téna cākḷpra ŕ̥ṣayo manuṣyā\ḥ

10.130.06a | cākḷpré téna ŕ̥ṣayo manuṣyā\
10.130.06b | yajñé jāté pitáro naḥ purāṇé
10.130.06c | páśyan manye mánasā cákṣasā tā́n
10.130.06d | yá imáṁ yajñám áyajanta pū́rve

10.130.07a | sahástomāḥ saháchandasa āvŕ̥taḥ
10.130.07b | sahápramā ŕ̥ṣayaḥ saptá daíviyāḥ
10.130.07c | pū́rveṣām pánthām anudŕ̥śya dhī́rā
10.130.07d | anvā́lebhire rathíyo ná raśmī́n

10.131.01a | ápa prā́ca indra víśvām̐ amítrān
10.131.01b | ápā́pāco abhibhūte nudasva
10.131.01c | ápódīco ápa śūrādharā́ca
10.131.01d | uraú yáthā táva śárman mádema

10.131.02a | kuvíd aṅgá yávamanto yávaṁ cid
10.131.02b | yáthā dā́nti anupūrváṁ viyū́ya
10.131.02c | ihéhaiṣāṁ kr̥ṇuhi bhójanāni
10.131.02d | yé barhíṣo námovr̥ktiṁ ná jagmúḥ

10.131.03a | nahí sthū́ri r̥tuthā́ yātám ásti
10.131.03b | nótá śrávo vivide saṁgaméṣu
10.131.03c | gavyánta índraṁ sakhiyā́ya víprā
10.131.03d | aśvāyánto vŕ̥ṣaṇaṁ vājáyantaḥ

10.131.04a | yuváṁ surā́mam aśvinā
10.131.04b | námucāv āsuré sácā
10.131.04c | vipipānā́ śubhas patī
10.131.04d | índraṁ kármasu āvatam

10.131.05a | putrám iva pitárāv aśvínobhā
10.131.05b | índrāváthuḥ kā́viyair daṁsánābhiḥ
10.131.05c | yát surā́maṁ ví ápibaḥ śácībhiḥ
10.131.05d | sárasvatī tvā maghavann abhiṣṇak

10.131.06a | índraḥ sutrā́mā suávām̐ ávobhiḥ
10.131.06b | sumr̥r̥ḷīkó+ bhavatu viśvávedāḥ
10.131.06c | bā́dhatāṁ dvéṣo ábhayaṁ kr̥ṇotu
10.131.06d | suvī́riyasya pátayaḥ siyāma

10.131.07a | tásya vayáṁ sumataú yajñíyasya
10.131.07b | ápi bhadré saumanasé siyāma
10.131.07c | sá sutrā́mā suávām̐ índro asmé
10.131.07d | ārā́c cid dvéṣaḥ sanutár yuyotu

10.132.01a | ījānám íd diyaúr gūrtā́vasur
10.132.01b | ījānám bhū́mir abhí prabhūṣáṇi
10.132.01c | ījānáṁ devā́v aśvínāv
10.132.01d | abhí sumnaír avardhatām

10.132.02a | tā́ vām mitrāvaruṇā dhārayátkṣitī
10.132.02b | suṣumnā́ iṣitatvátā yajāmasi
10.132.02c | yuvóḥ krāṇā́ya sakhiyaír
10.132.02d | abhí ṣiyāma rakṣásaḥ

10.132.03a | ádhā cin nú yád dídhiṣāmahe vām
10.132.03b | abhí priyáṁ rékaṇaḥ pátyamānāḥ
10.132.03c | dadvā́m̐ vā yát púṣyati rékṇaḥ
10.132.03d | sám ū āran nákir asya maghā́ni

10.132.04a | asā́v anyó asura sūyata dyaús
10.132.04b | tuváṁ víśveṣāṁ varuṇāsi rā́jā
10.132.04c | mūrdhā́ ráthasya cākan
10.132.04d | naítā́vatā énasā antakadhrúk

10.132.05a | asmín sú etác chákapūta éno
10.132.05b | hité mitré nígatān hanti vīrā́n
10.132.05c | avór vā yád dhā́t tanū́ṣu
10.132.05d | ávaḥ priyā́su yajñíyāsu árvā

10.132.06a | yuvór hí mātā́ áditir vicetasā
10.132.06b | diyaúr ná bhū́miḥ páyasā pupūtáni
10.132.06c | áva priyā́ didiṣṭana
10.132.06d | sū́ro ninikta raśmíbhiḥ

10.132.07a | yuváṁ hí ̀ apnarā́jāv ásīdataṁ
