01.001.01a | agním īḷe-_ puróhitam

09.063.24a | apaghnán pavase-_ mŕ̥dhaḥ
09.063.24b | kratuvít soma matsaráḥ
09.063.24c | nudásva ádevayum jánam

09.063.25a | pávamānāḥ asr̥kṣata
09.063.25b | sómāḥ śukrā́saḥ índavaḥ
09.063.25c | abhí víśvāni kā́vyā

09.063.26a | pávamānāsaḥ āśávaḥ
09.063.26b | śubhrā́ḥ asr̥gram índavaḥ
09.063.26c | ghnántaḥ víśvāḥ ápa dvíṣaḥ

09.063.27a | pávamānāḥ diváḥ pári
09.063.27b | antárikṣāt asr̥kṣata
09.063.27c | pr̥thivyā́ḥ ádhi sā́navi

09.063.28a | punānáḥ soma dhā́rayā
09.063.28b | índo víśvāḥ ápa srídhaḥ
09.063.28c | jahí rákṣāṁsi sukrato

09.063.29a | apaghnán soma rakṣásaḥ
09.063.29b | abhí arṣa kánikradat
09.063.29c | dyumántam śúṣmam uttamám

09.063.30a | asmé?_ vásūni dhāraya
09.063.30b | sóma divyā́ni pā́rthivā
09.063.30c | índo víśvāni vā́ryā

09.064.01a | vŕ̥ṣā soma dyumā́n asi
09.064.01b | vŕ̥ṣā deva vŕ̥ṣavrataḥ
09.064.01c | vŕ̥ṣā dhármāṇi dadhiṣe-_

09.064.02a | vŕ̥ṣṇaḥ te-_ vŕ̥ṣṇyam śávaḥ
09.064.02b | vŕ̥ṣā vánam vŕ̥ṣā mádaḥ
09.064.02c | satyám vr̥ṣan vŕ̥ṣā ít asi

09.064.03a | áśvaḥ ná+_ cakradaḥ vŕ̥ṣā
09.064.03b | sám gā́ḥ indo sám árvataḥ
09.064.03c | ví naḥ rāyé-_ dúraḥ vr̥dhi

09.064.04a | ásr̥kṣata prá vājínaḥ
09.064.04b | gavyā́ sómāsaḥ aśvayā́
09.064.04c | śukrā́saḥ vīrayā́ āśávaḥ

09.064.05a | śumbhámānāḥ r̥tāyúbhiḥ
09.064.05b | mr̥jyámānāḥ gábhastyoḥ
09.064.05c | pávante-_ vā́re-_ avyáye-_

09.064.06a | té?_ víśvā dāśúṣe-_ vásu
09.064.06b | sómāḥ divyā́ni pā́rthivā
09.064.06c | pávantām ā́ antárikṣyā

09.064.07a | pávamānasya viśvavit
09.064.07b | prá te-_ sárgāḥ asr̥kṣata
09.064.07c | sū́ryasya iva ná+_ raśmáyaḥ

09.064.08a | ketúm kr̥ṇván diváḥ pári
09.064.08b | víśvā rūpā́ abhí arṣasi
09.064.08c | samudráḥ soma pinvase?_

09.064.09a | hinvānáḥ vā́cam iṣyasi
09.064.09b | pávamāna vídharmaṇi
09.064.09c | ákrān deváḥ ná+_ sū́ryaḥ

09.064.10a | índuḥ paviṣṭa cétanaḥ
09.064.10b | priyáḥ kavīnā́m matī́-_
09.064.10c | sr̥ját áśvam rathī́ḥ iva

09.064.11a | ūrmíḥ yáḥ te-_ pavítre-_ ā́
09.064.11b | devāvī́ḥ paryákṣarat
09.064.11c | sī́dan r̥tásya yónim ā́

09.064.12a | sá naḥ arṣa pavítre-_ ā́
09.064.12b | mádaḥ yáḥ devavī́tamaḥ
09.064.12c | índo índrāya pītáye-_

09.064.13a | iṣé-_ pavasva dhā́rayā
09.064.13b | mr̥jyámānaḥ manīṣíbhiḥ
09.064.13c | índo rucā́ abhí gā́ḥ ihi

09.064.14a | punānáḥ várivaḥ kr̥dhi
09.064.14b | ū́rjam jánāya girvaṇaḥ
09.064.14c | háre?_ sr̥jānáḥ āśíram

09.064.15a | punānáḥ devávītaye-_
09.064.15b | índrasya yāhi niṣkr̥tám
09.064.15c | dyutānáḥ vājíbhiḥ yatáḥ

09.064.16a | prá hinvānā́saḥ índavaḥ
09.064.16b | ácchā+ samudrám āśávaḥ
09.064.16c | dhiyā́ jūtā́ḥ asr̥kṣata

09.064.17a | marmr̥jānā́saḥ āyávaḥ
09.064.17b | vŕ̥thā samudrám índavaḥ
09.064.17c | ágman r̥tásya yónim ā́

09.064.18a | pári naḥ yāhi asmayúḥ
09.064.18b | víśvā vásūni ójasā
09.064.18c | pāhí naḥ śárma vīrávat

09.064.19a | mímāti váhniḥ étaśaḥ
09.064.19b | padám yujānáḥ ŕ̥kvabhiḥ
09.064.19c | prá yát samudré-_ ā́hitaḥ

09.064.20a | ā́ yát yónim hiraṇyáyam
09.064.20b | āśúḥ r̥tásya sī́dati
09.064.20c | jáhāti ápracetasaḥ

09.064.21a | abhí venā́ḥ anūṣata
09.064.21b | íyakṣanti prácetasaḥ
09.064.21c | májjanti ávicetasaḥ

09.064.22a | índrāya indo marútvate-_
09.064.22b | pávasva mádhumattamaḥ
09.064.22c | r̥tásya yónim āsádam

09.064.23a | tám tvā víprāḥ vacovídaḥ
09.064.23b | pári! skr̥ṇvanti! vedhásaḥ
09.064.23c | sám tvā mr̥janti āyávaḥ

09.064.24a | rásam te-_ mitráḥ aryamā́
09.064.24b | píbanti várunaḥ kave-_
09.064.24c | pávamānasya marútaḥ

09.064.25a | tvám soma vipaścítam
09.064.25b | punānáḥ vā́cam iṣyasi
09.064.25c | índo sahásrabharṇasam

09.064.26a | utá u+_ sahásrabharṇasam
09.064.26b | vā́cam soma makhasyúvam
09.064.26c | punānáḥ indo ā́ bhara

09.064.27a | punānáḥ indo eṣām
09.064.27b | púruhūta jánānām
09.064.27c | priyáḥ samudrám ā́ viśa

09.064.28a | dávidyutatyā rucā́
09.064.28b | pariṣṭóbhantyā kr̥pā́
09.064.28c | sómāḥ śukrā́ḥ gávāśiraḥ

09.064.29a | hinvānáḥ hetŕ̥bhiḥ yatáḥ
09.064.29b | ā́ vā́jam vājī́?_ akramīt
09.064.29c | sī́dantaḥ vanúṣaḥ yathā

09.064.30a | r̥dhák soma svastáye-_
09.064.30b | saṁjagmānáḥ diváḥ kavíḥ
09.064.30c | pávasva sū́ryaḥ dr̥śé-_

09.065.01a | hinvánti sū́ram úsrayaḥ
09.065.01b | svásāraḥ jāmáyaḥ pátim
09.065.01c | mahā́m índum mahīyúvaḥ

09.065.02a | pávamāna rucā́-rucā
09.065.02b | deváḥ devébhyaḥ pári
09.065.02c | víśvā vásūni ā́ viśa

09.065.03a | ā́ pavamāna suṣṭutím
09.065.03b | vr̥ṣṭím devébhyaḥ dúvaḥ
09.065.03c | iṣé-_ pavasva saṁyátam

09.065.04a | vŕ̥ṣā hí ási bhānúnā
09.065.04b | dyumántam tvā havāmahe-_
09.065.04c | pávamāna svādhya\ḥ

09.065.05a | ā́ pavasva suvī́ryam
09.065.05b | mándamānaḥ svāyudha
09.065.05c | ihá u+_ sú indo ā́ gahi

09.065.06a | yát adbhíḥ pariṣicyáse?_
09.065.06b | mr̥jyámānaḥ gábhastyoḥ
09.065.06c | drúṇā sadhástham aśnuṣe?_

09.065.07a | prá sómāya vyaśvavát
09.065.07b | pávamānāya gāyata
09.065.07c | mahé-_ sahásracakṣase?_

09.065.08a | yásya várṇam madhuścútam
09.065.08b | hárim hinvánti ádribhiḥ
09.065.08c | índum índrāya pītáye-_

09.065.09a | tásya te-_ vājínaḥ vayám
09.065.09b | víśvā dhánāni jigyúṣaḥ
09.065.09c | sakhitvám ā́ vr̥ṇīmahe-_

09.065.10a | vŕ̥ṣā pavasva dhā́rayā
09.065.10b | marútvate-_ ca matsaráḥ
09.065.10c | víśvā dádhānaḥ ójasā

09.065.11a | tám tvā dhartā́ram oṇyo\ḥ
09.065.11b | pávamāna svardŕ̥śam
09.065.11c | hinvé?_ vā́jeṣu vājínam

09.065.12a | ayā́ cittáḥ vipā́ anáyā
09.065.12b | háriḥ pavasva dhā́rayā
09.065.12c | yújam vā́jeṣu codaya

09.065.13a | ā́ naḥ indo mahī́m íṣam
09.065.13b | pávasva viśvádarśataḥ
09.065.13c | asmábhyam soma gātuvít

09.065.14a | ā́ kaláśāḥ anūṣata
09.065.14b | índo dhā́rābhiḥ ójasā
09.065.14c | ā́ índrasya pītáye-_ viśa

09.065.15a | yásya te-_ mádyam rásam
09.065.15b | tīvrám duhánti ádribhiḥ
09.065.15c | sá pavasva abhimātihā́

09.065.16a | rā́jā medhā́bhiḥ īyate-_
09.065.16b | pávamānaḥ manaú ádhi
09.065.16c | antárikṣeṇa yā́tave-_

09.065.17a | ā́ naḥ indo śatagvínam
09.065.17b | gávām póṣam sváśvyam
09.065.17c | váhā+ bhágattim ūtáye-_

09.065.18a | ā́ naḥ soma sáhaḥ júvaḥ
09.065.18b | rūpám ná+_ várcase?_ bhara
09.065.18c | suṣvāṇáḥ devávītaye-_

09.065.19a | árṣā+ soma dyumáttamaḥ
09.065.19b | abhí dróṇāni róruvat
09.065.19c | sī́dan śyenáḥ ná+_ yónim ā́

09.065.20a | apsā́ḥ índrāya vāyáve-_
09.065.20b | váruṇāya marúdbhyaḥ
09.065.20c | sómaḥ arṣati víṣṇave-_

09.065.21a | íṣam tokā́ya naḥ dádhat
09.065.21b | asmábhyam soma viśvátaḥ
09.065.21c | ā́ pavasva sahasríṇam

09.065.22a | yé?_ sómāsaḥ parāváti
09.065.22b | yé?_ arvāváti sunviré?_
09.065.22c | yé?_ vā adáḥ śaryaṇā́vati

09.065.23a | yé?_ ārjīkéṣu kŕ̥tvasu
09.065.23b | yé?_ mádhye-_ pastyā\nām
09.065.23c | yé?_ vā jáneṣu pañcásu

09.065.24a | té?_ naḥ vr̥ṣṭím diváḥ pári
09.065.24b | pávantām ā́ suvī́ryam
09.065.24c | suvānā́ḥ devā́saḥ índavaḥ

09.065.25a | pávate?_ haryatáḥ háriḥ
09.065.25b | gr̥ṇānáḥ jamádagninā
09.065.25c | hinvānáḥ góḥ ádhi tvací

09.065.26a | prá śukrā́saḥ vayojúvaḥ
09.065.26b | hinvānā́saḥ ná+_ sáptayaḥ
09.065.26c | śrīṇānā́ḥ apsú mr̥ñjata

09.065.27a | tám tvā sutéṣu ābhúvaḥ
09.065.27b | hinviré?_ devátātaye-_
09.065.27c | sá pavasva anáyā rucā́

09.065.28a | ā́ te-_ dákṣam mayobhúvam
09.065.28b | váhnim adyā́+ vr̥ṇīmahe-_
09.065.28c | pā́ntam ā́ puruspŕ̥ham

09.065.29a | ā́ mandrám ā́ váreṇyam
09.065.29b | ā́ vípram ā́ manīṣíṇam
09.065.29c | pā́ntam ā́ puruspŕ̥ham

09.065.30a | ā́ rayím ā́ sucetúnam
09.065.30b | ā́ sukrato tanū́ṣu ā́
09.065.30c | pā́ntam ā́ puruspŕ̥ham

09.066.01a | pávasva viśvacarṣaṇe?_
09.066.01b | abhí víśvāni kā́vyā
09.066.01c | sákhā sákhibhyaḥ ī́ḍyaḥ

09.066.02a | tā́bhyām víśvasya rājasi
09.066.02b | yé+_ pavamāna dhā́manī+_
09.066.02c | pratīcī́+_ soma tasthátuḥ

09.066.03a | pári dhā́māni yā́ni te-_
09.066.03b | tvám soma asi viśvátaḥ
09.066.03c | pávamāna r̥túbhiḥ kave-_

09.066.04a | pávasva janáyan íṣaḥ
09.066.04b | abhí víśvāni vā́ryā
09.066.04c | sákhā sákhibhyaḥ ūtáye-_

09.066.05a | táva śukrā́saḥ arcáyaḥ
09.066.05b | diváḥ pr̥ṣṭhé-_ ví tanvate-_
09.066.05c | pavítram soma dhā́mabhiḥ

09.066.06a | táva imé?_ saptá síndhavaḥ
09.066.06b | praśíṣam soma sisrate-_
09.066.06c | túbhyam dhāvanti dhenávaḥ

09.066.07a | prá soma yāhi dhā́rayā
09.066.07b | sutáḥ índrāya matsaráḥ
09.066.07c | dádhānaḥ ákṣiti śrávaḥ

09.066.08a | sám u+_ tvā dhībhíḥ asvaran
09.066.08b | hinvatī́ḥ saptá jāmáyaḥ
09.066.08c | vípram ājā́ vivásvataḥ

09.066.09a | mr̥jánti tvā sám agrúvaḥ
09.066.09b | ávye-_ jīraú ádhi sváni
09.066.09c | rebháḥ yát ajyáse?_ váne-_

09.066.10a | pávamānasya te-_ kave-_
09.066.10b | vā́jin sárgāḥ asr̥kṣata
09.066.10c | árvantaḥ ná+_ śravasyávaḥ

09.066.11a | ácchā+ kóśam madhuścútam
09.066.11b | ásr̥gram vā́re-_ avyáye-_
09.066.11c | ávāvaśanta dhītáyaḥ

09.066.12a | ácchā+ samudrám índavaḥ
09.066.12b | ástam gā́vaḥ ná+_ dhenávaḥ
09.066.12c | ágman r̥tásya yónim ā́

09.066.13a | prá naḥ indo mahé-_ ráṇe?_
09.066.13b | ā́paḥ arṣanti síndhavaḥ
09.066.13c | yát góbhiḥ vāsayiṣyáse?_

09.066.14a | ásya te-_ sakhyé-_ vayám
09.066.14b | íyakṣantaḥ tvótayaḥ
09.066.14c | índo sakhitvám uśmasi

09.066.15a | ā́ pavasva gáviṣṭaye?_
09.066.15b | mahé-_ soma nr̥cákṣase?_
09.066.15c | ā́ índrasya jaṭháre-_ viśa

09.066.16a | mahā́n asi soma jyéṣṭhaḥ
09.066.16b | ugrā́ṇām indo ójiṣṭhaḥ
09.066.16c | yúdhvā sán śáśvat jigetha

09.066.17a | yáḥ ugrébhyaḥ cit ójīyān
09.066.17b | śū́rebhyaḥ cit śū́rataraḥ
09.066.17c | bhūridā́bhyaḥ cit máṁhīyān

09.066.18a | tvám soma sū́raḥ ā́ íṣaḥ
09.066.18b | tokásya sātā́ tanū́nām
09.066.18c | vr̥ṇīmáhe-_ sakhyā́ya
09.066.18d | vr̥ṇīmáhe-_ yújyāya

09.066.19a | ágne-_ ā́yūṁṣi pavase-_
09.066.19b | ā́ suva ū́rjam íṣam ca naḥ
09.066.19c | āré-_ bādhasva ducchúnām

09.066.20a | agníḥ ŕ̥ṣiḥ pávamānaḥ
09.066.20b | pā́ñcajanyaḥ puróhitaḥ
09.066.20c | tám īmahe-_ mahāgayám

09.066.21a | ágne-_ pávasva svápāḥ
09.066.21b | asmé?_ várcaḥ suvī́ryam
09.066.21c | dádhat rayím máyi póṣam

09.066.22a | pávamānaḥ áti srídhaḥ
09.066.22b | abhí arṣati suṣṭutím
09.066.22c | sū́raḥ ná+_ viśvádarśataḥ

09.066.23a | sá marmr̥jānáḥ āyúbhiḥ
09.066.23b | práyasvān práyase?_ hitáḥ
09.066.23c | índuḥ átyaḥ vicakṣaṇáḥ

09.066.24a | pávamānaḥ r̥tám br̥hát
09.066.24b | śukrám jyótiḥ ajījanat
09.066.24c | kr̥ṣṇā́ támāṁsi jáṅghanat

09.066.25a | pávamānasya jáṅghnataḥ
09.066.25b | háreḥ candrā́ḥ asr̥kṣata
09.066.25c | jīrā́ḥ ajiráśociṣaḥ

09.066.26a | pávamānaḥ rathī́tamaḥ
09.066.26b | śubhrébhiḥ śubhráśastamaḥ
09.066.26c | háriścandraḥ marúdgaṇaḥ

09.066.27a | pávamānaḥ ví aśnavat
09.066.27b | raśmíbhiḥ vājasā́tamaḥ
09.066.27c | dádhat stotré-_ suvī́ryam

09.066.28a | prá suvānáḥ índuḥ akṣār
09.066.28b | pavítram áti avyáyam
09.066.28c | punānáḥ índuḥ índram ā́

09.066.29a | eṣá sómaḥ ádhi tvací
09.066.29b | gávām krīḷati ádribhiḥ
09.066.29c | índram mádāya jóhuvat

09.066.30a | yásya te-_ dyumnávat páyaḥ
09.066.30b | pávamāna ā́bhr̥tam diváḥ
09.066.30c | téna naḥ mr̥ḷa jīváse-_

09.067.01a | tvám soma asi dhārayúḥ
09.067.01b | mandráḥ ójiṣṭhaḥ adhvaré-_
09.067.01c | pávasva maṁhayádrayiḥ

09.067.02a | tvám sutáḥ nr̥mā́danaḥ
09.067.02b | dadhanvā́n matsaríntamaḥ
09.067.02c | índrāya sūríḥ ándhasā

09.067.03a | tvám suṣvāṇáḥ ádribhiḥ
09.067.03b | abhí arṣa kánikradat
09.067.03c | dyumántam śúṣmam uttamám

09.067.04a | índuḥ hinvānáḥ arṣati
09.067.04b | tiráḥ vā́rāṇi avyáyā
09.067.04c | háriḥ vā́jam acikradat

09.067.05a | índo ví ávyam arṣasi
09.067.05b | ví śrávāṁsi ví saúbhagā
09.067.05c | ví vā́jān soma gómataḥ

09.067.06a | ā́ naḥ indo śatagvínam
09.067.06b | rayím gómantam aśvínam
09.067.06c | bhárā+ soma sahasríṇam

09.067.07a | pávamānāsaḥ índavaḥ
09.067.07b | tiráḥ pavítram āśávaḥ
09.067.07c | índram yā́mebhiḥ āśata

09.067.08a | kakuháḥ somyáḥ rásaḥ
09.067.08b | índuḥ índrāya pūrvyáḥ
09.067.08c | āyúḥ pavate-_ āyáve-_

09.067.09a | hinvánti sū́ram úsrayaḥ
09.067.09b | pávamānam madhuścútam
09.067.09c | abhí girā́ sám asvaran

09.067.10a | avitā́ naḥ ajā́śvaḥ
09.067.10b | pūṣā́ yā́mani-yāmani
09.067.10c | ā́ bhakṣat kanyā\su naḥ

09.067.11a | ayám sómaḥ kapardíne?_
09.067.11b | ghr̥tám ná+_ pavate-_ mádhu
09.067.11c | ā́ bhakṣat kanyā\su naḥ

09.067.12a | ayám te-_ āghr̥ṇe-_ sutáḥ
09.067.12b | ghr̥tám ná+_ pavate-_ śúci
09.067.12c | ā́ bhakṣat kanyā\su naḥ

09.067.13a | vācáḥ jantúḥ kavīnā́m
09.067.13b | pávasva soma dhā́rayā
09.067.13c | devéṣu ratnadhā́ḥ asi

09.067.14a | ā́ kaláśeṣu dhāvati
09.067.14b | śyenáḥ várma ví gāhate-_
09.067.14c | abhí dróṇā kánikradat

09.067.15a | pári prá soma te-_ rásaḥ
09.067.15b | ásarji kaláśe-_ sutáḥ
09.067.15c | śyenáḥ ná+_ taktáḥ arṣati

09.067.16a | pávasva soma mandáyan
09.067.16b | índrāya mádhumattamaḥ

09.067.17a | ásr̥gran devávītaye-_
09.067.17b | vājayántaḥ ráthāḥ iva

09.067.18a | té?_ sutā́saḥ madíntamāḥ
09.067.18b | śukrā́ḥ vāyúm asr̥kṣata

09.067.19a | grā́vṇā tunnáḥ abhíṣṭutaḥ
09.067.19b | pavítram soma gacchasi
09.067.19c | dádhat stotré-_ suvī́ryam

09.067.20a | eṣá tunnáḥ abhíṣṭutaḥ
09.067.20b | pavítram áti gāhate-_
09.067.20c | rakṣohā́ vā́ram avyáyam

09.067.21a | yát ánti yát ca dūraké?_
09.067.21b | bhayám vindáti mā́m ihá
09.067.21c | pávamāna ví tát jahi

09.067.22a | pávamānaḥ sáḥ adyá naḥ
09.067.22b | pavítreṇa vícarṣaṇiḥ
09.067.22c | yáḥ potā́ sá punātu naḥ

09.067.23a | yát te-_ pavítram arcíṣi
09.067.23b | ágne-_ vítatam antár ā́
09.067.23c | bráhma téna punīhi naḥ

09.067.24a | yát te-_ pavítram arcivát
09.067.24b | ágne-_ téna punīhi naḥ
09.067.24c | brahmasavaíḥ punīhi naḥ

09.067.25a | ubhā́bhyām deva savitar
09.067.25b | pavítreṇa savéna ca
09.067.25c | mā́m punīhi viśvátaḥ

09.067.26a | tribhíḥ tvám deva savitar
09.067.26b | várṣiṣṭhaiḥ soma dhā́mabhiḥ
09.067.26c | ágne-_ dákṣaiḥ punīhi naḥ

09.067.27a | punántu mā́m devajanā́ḥ
09.067.27b | punántu vásavaḥ dhiyā́
09.067.27c | víśve?_ devāḥ punītá mā
09.067.27d | jā́tavedaḥ punīhí mā

09.067.28a | prá pyāyasva prá syandasva
09.067.28b | sóma víśvebhiḥ aṁśúbhiḥ
09.067.28c | devébhyaḥ uttamám havíḥ

09.067.29a | úpa priyám pánipnatam
09.067.29b | yúvānam āhutīvŕ̥dham
09.067.29c | áganma bíbhrataḥ námaḥ

09.067.30a | alā́yyasya= paraśúḥ} nanāśa
09.067.30b | tám ā́ pavasva deva soma
09.067.30c | ākhúm cit evá deva soma

09.067.31a | yáḥ pāvamānī́ḥ adhyéti
09.067.31b | ŕ̥ṣibhiḥ sámbhr̥tam rásam
09.067.31c | sárvam sá pūtám aśnāti
09.067.31d | svaditám mātaríśvanā

09.067.32a | pāvamānī́ḥ yáḥ adhyéti
09.067.32b | ŕ̥ṣibhiḥ sámbhr̥tam rásam
09.067.32c | tásmai sárasvatī-_ duhe-_
09.067.32d | kṣīrám sarpíḥ mádhu udakám

09.068.01a | prá devám ácchā+= mádhumantaḥ índavaḥ
09.068.01b | ásiṣyadanta= gā́vaḥ ā́} ná+_ dhenávaḥ
09.068.01c | barhiṣádaḥ= vacanā́vantaḥ ū́dhabhiḥ
09.068.01d | parisrútam= usríyāḥ nirṇíjam dhire?_

09.068.02a | sá róruvat= abhí pū́rvāḥ} acikradat
09.068.02b | upārúhaḥ= śratháyan svādate?_ háriḥ
09.068.02c | tiráḥ pavítram= pariyán} urú jráyaḥ
09.068.02d | ní śáryāṇi= dadhate?_ deváḥ ā́ váram

09.068.03a | ví yáḥ mamé?_= yamyā\ saṁyatī́?_ mádaḥ
09.068.03b | sākaṁvŕ̥dhā= páyasā pinvat ákṣitā
09.068.03c | mahī́+_ apāré+_= rájasī+_} vivévidat
09.068.03d | abhivrájan= ákṣitam pā́jaḥ ā́ dade-_

09.068.04a | sá mātárā= vicáran vājáyan apáḥ
09.068.04b | prá médhiraḥ= svadháyā pinvate-_ padám
09.068.04c | aṁśúḥ yávena= pipiśe?_} yatáḥ nŕ̥bhiḥ
09.068.04d | sám jāmíbhiḥ= násate?_ rákṣate?_ śíraḥ

09.068.05a | sám dákṣeṇa= mánasā jāyate-_ kavíḥ
09.068.05b | r̥tásya gárbhaḥ= níhitaḥ} yamā́ paráḥ
09.068.05c | yū́nā ha sántā= prathamám} ví jajñatuḥ
09.068.05d | gúhā hitám= jánima némam údyatam

09.068.06a | mandrásya rūpám= vividuḥ} manīṣíṇaḥ
09.068.06b | śyenáḥ yát ándhaḥ= ábharat} parāvátaḥ
09.068.06c | tám marjayanta= suvŕ̥dham} nadī́ṣu ā́
09.068.06d | uśántam aṁśúm= pariyántam r̥gmíyam

09.068.07a | tvā́m mr̥janti= dáśa yóṣaṇaḥ sutám
09.068.07b | sóma ŕ̥ṣibhiḥ matíbhiḥ dhītíbhiḥ hitám
09.068.07c | ávyaḥ vā́rebhiḥ= utá deváhūtibhiḥ
09.068.07d | nŕ̥bhiḥ yatáḥ= vā́jam ā́ darṣi sātáye-_

09.068.08a | pariprayántam= vayya\m} suṣaṁsádam
09.068.08b | sómam manīṣā́ḥ= abhí anūṣata stúbhaḥ
09.068.08c | yáḥ dhā́rayā= mádhumān ūrmíṇā diváḥ
09.068.08d | íyarti vā́cam= rayiṣā́ṭ} ámartyaḥ

09.068.09a | ayám diváḥ= iyarti víśvam ā́ rájaḥ
09.068.09b | sómaḥ punānáḥ= kaláśeṣu sīdati
09.068.09c | adbhíḥ góbhiḥ= mr̥jyate-_ ádribhiḥ sutáḥ
09.068.09d | punānáḥ índuḥ= várivaḥ} vidat priyám

09.068.10a | evā́+ naḥ soma= pariṣicyámānaḥ
09.068.10b | váyaḥ dádhat= citrátamam} pavasva
09.068.10c | adveṣé+_ dyā́vā=pr̥thivī́+_} huvema
09.068.10d | dévāḥ dhattá= rayím asmé?_} suvī́ram

09.069.01a | íṣuḥ ná+_ dhánvan= práti dhīyate-_ matíḥ
09.069.01b | vatsáḥ ná+_ mātúḥ= úpa sarji ū́dhani
09.069.01c | urúdhārā iva= duhe-_ ágre-_ āyatī́?_
09.069.01d | ásya vratéṣu= ápi sómaḥ iṣyate?_

09.069.02a | úpa u+_ matíḥ= pr̥cyáte?_ sicyáte?_ mádhu
09.069.02b | mandrā́janī?_= codate?_ antár āsáni
09.069.02c | pávamānaḥ= saṁtaníḥ praghnatā́m iva
09.069.02d | mádhumān drapsáḥ= pári vā́ram arṣati

09.069.03a | ávye-_ vadhūyúḥ= pavate-_} pári tvací
09.069.03b | śrathnīté?_ naptī́ḥ= áditeḥ} r̥tám yaté-_
09.069.03c | háriḥ akrān= yajatáḥ saṁyatáḥ mádaḥ
09.069.03d | nr̥mṇā́ śíśānaḥ= mahiṣáḥ} ná+_ śobhate?_

09.069.04a | ukṣā́ mimāti= práti yanti dhenávaḥ
09.069.04b | devásya devī́ḥ= úpa yanti niṣkr̥tám
09.069.04c | áti akramīt= árjunam vā́ram avyáyam
09.069.04d | átkam ná+_ niktám= pári sómaḥ avyata

09.069.05a | ámr̥ktena= rúśatā vā́sasā háriḥ
09.069.05b | ámartyaḥ= nirṇijānáḥ} pári vyata
09.069.05c | diváḥ pr̥ṣṭhám= barháṇā nirṇíje?_ kr̥ta
09.069.05d | upastáraṇam= camvo\ḥ} nabhasmáyam

09.069.06a | sū́ryasya iva= raśmáyaḥ drāvayitnávaḥ
09.069.06b | matsarā́saḥ= prasúpaḥ sākám īrate-_
09.069.06c | tántum tatám= pári sárgāsaḥ āśávaḥ
09.069.06d | ná índrāt r̥té-_= pavate-_ dhā́ma kím caná

09.069.07a | síndhoḥ iva= pravaṇé-_ nimné?_ āśávaḥ
09.069.07b | vŕ̥ṣacyutāḥ= mádāsaḥ gātúm āśata
09.069.07c | śám naḥ niveśé?_= dvipáde-_} cátuṣpade-_
09.069.07d | asmé?_ vā́jaḥ= soma tiṣṭhantu kr̥ṣṭáyaḥ

09.069.08a | ā́ naḥ pavasva= vásumat} híraṇyavat
09.069.08b | áśvāvat gómat= yávamat} suvī́ryam
09.069.08c | yūyám hí soma= pitáraḥ} máma sthána
09.069.08d | diváḥ mūrdhā́naḥ= prásthitāḥ} vayaskŕ̥taḥ

09.069.09a | eté?_ sómāḥ= pávamānāsaḥ índram
09.069.09b | ráthāḥ iva= prá yayuḥ sātím áccha
09.069.09c | sutā́ḥ pavítram= áti yanti ávyam
09.069.09d | hitvī́?_ vavrím= harítaḥ vr̥ṣṭím áccha

09.069.10a | índo índrāya= br̥haté-_} pavasva
09.069.10b | sumr̥ḷīkáḥ= anavadyáḥ} riśā́dāḥ
09.069.10c | bhárā+ candrā́ṇi= gr̥ṇaté-_} vásūni
09.069.10d | devaíḥ dyāvā=pr̥thivī+_ prá avatam naḥ

09.070.01a | tríḥ asmai saptá= dhenávaḥ} duduhre?_
09.070.01b | satyā́m āśíram= pūrvyé?_} vyo\mani
09.070.01c | catvā́ri anyā́= bhúvanāni nirṇíje?_
09.070.01d | cā́rūṇi cakre-_= yát r̥taíḥ} ávardhata

09.070.02a | sá bhíkṣamāṇaḥ= amŕ̥tasya cā́ruṇaḥ
09.070.02b | ubhé+_ dyā́vā= kā́vyenā+} ví śaśrathe?_
09.070.02c | téjiṣṭhāḥ apáḥ= maṁhánā} pári vyata
09.070.02d | yádī-_+ devásya= śrávasā} sádaḥ vidúḥ

09.070.03a | té?_ asya santu= ketávaḥ} ámr̥tyavaḥ
09.070.03b | ádābhyāsaḥ= janúṣī+_} ubhé+_ ánu
09.070.03c | yébhiḥ nr̥mṇā́ ca= devyā\} ca punaté?_
09.070.03d | ā́t ít rā́jānam= manánāḥ} agr̥bhṇata

09.070.04a | sá mr̥jyámānaḥ= daśábhiḥ} sukármabhiḥ
09.070.04b | prá madhyamā́su= mātŕ̥ṣu} pramé?_ sácā
09.070.04c | vratā́ni pānáḥ= amŕ̥tasya cā́ruṇaḥ
09.070.04d | ubhé+_ nr̥cákṣāḥ= ánu paśyate?_ víśau

09.070.05a | sá marmr̥jānáḥ= indriyā́ya dhā́yase-_
09.070.05b | ā́ ubhé+_ antár= ródasī+_ harṣate?_ hitáḥ
09.070.05c | vŕ̥ṣā śúṣmeṇa= bādhate-_} ví durmatī́ḥ
09.070.05d | ādédiśānaḥ= śaryahā́ iva śurúdhaḥ

09.070.06a | sá mātárā ná+_= dádr̥śānaḥ usríyaḥ
09.070.06b | nā́nadat eti= marútām} iva svanáḥ
